word,occurrences,kept_at_0.99,pct_filtered_at_0.99
winter arc,3,0,100.0
shaking,65679,16,99.98
goals,820974,432,99.95
extra,1007897,680,99.93
tight,273059,359,99.87
cancelled,79079,194,99.75
era,332655,933,99.72
fresh,859065,2797,99.67
squad,152348,555,99.64
sigma,35167,242,99.31
unc,18794,147,99.22
glazing,18612,149,99.2
cooked,165332,1848,98.88
npc,11911,136,98.86
basic,800651,9474,98.82
67,76613,917,98.8
6-7,15528,244,98.43
mid,134281,2166,98.39
sus,7109,138,98.06
woke,79999,1555,98.06
fire,1055247,25303,97.6
rent free,724,18,97.51
karen,100187,2719,97.29
on god,8319,231,97.22
hard mode,897,29,96.77
aura,34726,1231,96.46
they ate,5592,201,96.41
no cap,1155,45,96.1
lit,96851,3960,95.91
stan,38840,1660,95.73
tea,491493,21796,95.57
catfish,16096,781,95.15
crash out,588,29,95.07
gooner,359,18,94.99
snatched,13800,736,94.67
salty,35510,1896,94.66
sick,261650,14015,94.64
clanker,37,2,94.59
alpha,104286,5764,94.47
savage,45134,2543,94.37
he ate,5395,311,94.24
mog,1610,93,94.22
ratchet,11484,754,93.43
she ate,2880,198,93.12
thirsty,21519,1500,93.03
shook,70599,5449,92.28
brat,8294,676,91.85
twinning,2330,193,91.72
clout,10483,873,91.67
mewing,372,35,90.59
yap,4030,387,90.4
pog,817,81,90.09
bop,8419,931,88.94
dank,5087,576,88.68
slop,2992,371,87.6
degen,564,70,87.59
goon,3607,481,86.66
unboxing,5429,802,85.23
unbox,1176,176,85.03
yas,2375,361,84.8
gaslight,1978,316,84.02
fam,9327,1496,83.96
rizz,55,9,83.64
slay,10676,1795,83.19
swag,15444,2624,83.01
slaps,6260,1064,83.0
bae,9687,1649,82.98
simp,522,108,79.31
bussin,38,9,76.32
epic,150637,36443,75.81
mogged,16,4,75.0
pumped,34018,8967,73.64
ick,2120,559,73.63
unalive,15,4,73.33
doggo,708,208,70.62
u,301907,92332,69.42
red pill,1678,546,67.46
yolo,3746,1239,66.92
troll,18095,6077,66.42
methinks,2553,860,66.31
bro,22780,7914,65.26
yapping,1153,407,64.7
nolife,14,5,64.29
sussy baka,14,5,64.29
rad,15044,5490,63.51
gooning,29,11,62.07
griefing,420,165,60.71
vibe,72803,30862,57.61
bussin’,9,4,55.56
poggers,33,15,54.55
cuck,658,326,50.46
hooman,430,237,44.88
huzz,21,12,42.86
thot,773,442,42.82
finna,273,163,40.29
clean girl,56,36,35.71
phonk,34,22,35.29
eye bleach,17,11,35.29
catfished,247,164,33.6
hella,3955,2628,33.55
hits different,72,48,33.33
goated,15,10,33.33
vibes,27436,20311,25.97
skibidi,17,13,23.53
yeet,129,99,23.26
yeeting,13,10,23.08
lowkey,732,567,22.54
meh,7286,5775,20.74
bruh,795,635,20.13
soyboy,22,18,18.18
glow-up,117,98,16.24
solo dolo,26,22,15.38
stfu,926,827,10.69
thirst trap,84,76,9.52
lol,118284,107305,9.28
idgaf,171,158,7.6
struggle bus,115,107,6.96
dude,65806,61357,6.76
vibing,598,564,5.69
shooketh,21,20,4.76
cucked,86,83,3.49
shitpost,116,113,2.59
lmao,3875,3816,1.52
shitposting,201,198,1.49
doomscrolling,90,89,1.11
legit,32897,32897,0.0
omg,24593,24593,0.0
lmfao,1283,1283,0.0
💀,149,149,0.0
situationship,121,121,0.0
lmaooo,64,64,0.0
omgggg,48,48,0.0
lmaooooo,28,28,0.0
lmaoooo,28,28,0.0
yeeted,17,17,0.0
periodt,16,16,0.0
doomscroll,10,10,0.0
grindset,7,7,0.0
queen shit,6,6,0.0
brainrot,4,4,0.0
delulu,3,3,0.0
rage bait,2,2,0.0
left no crumbs,2,2,0.0
rage-bait,1,1,0.0
doomscrolled,1,1,0.0
